title,artist,duration_ms,duration_min,url
Akhan_nu teri_ suraat jachgai,Ahmad Arbaz,169718,2.83,https://soundcloud.com/ahmad-arbaz-409362867/akhan_nu-teri-suraat-jachgai
Uraan - NO WAY TO NOWHERE - Raffey - Usama - Ahad (Official Music Video).mp3,Muhammad Sabir Ahmed,183745,3.06,https://soundcloud.com/muhammad-sabir-sabir-860689520/uraan-no-way-to-nowhere-6
Lagda Nahi - Toshi feat. Ammy Gill | Kal Aaj Forever |,Eza Rao,190589,3.18,https://soundcloud.com/eza-rao-525762788/lagda-nahi-toshi-feat-ammy-gill-kal-aaj-forever
ZULFAAN - Sarrb Starboy X,NorthWest Music,189649,3.16,https://soundcloud.com/starboyx58/zulfan-sarrb-starboy-x
Suniyan Suniyan x Agar Tum Saath Ho (Slowed+Reverb),iamgourav,191347,3.19,https://soundcloud.com/iamgourav/suniyan-suniyan-x-agar-tum
Mitraz - Akhiyaan,Nishant Punjabi.,191948,3.2,https://soundcloud.com/nishantpunjabi/mitraz-akhiyaan
Aleemrk - Cold Hours (Official Audio) | Prod by UMAIR,Saqib Urdu Rap,206315,3.44,https://soundcloud.com/saqib-ali-932986540/aleemrk-cold-hours-official
Teri Baaton Mein Aisa Uljha Jiya | Title Song,Hindi Songs,153130,2.55,https://soundcloud.com/hindi-songs-456506030/teri-baaton-mein-aisa-uljha-jiya-title-song
Pyaar Hota Kayi Baar Hai - Tu Jhoothi Main Makkaar,Papi Gudia ki Pyasi Atma,183118,3.05,https://soundcloud.com/fnu-hashmatjan/pyaar-hota-kayi-baar-hai-tu
Hoke tetho door mei khoya apne aap nu  Wishes  Talwinder  Remix  Slowed Reverb.,Abiha_shahh,127373,2.12,https://soundcloud.com/abiha-nazar/hoke-tetho-door-mei-khoya-apne
Na Ja,Pav Dharia,208083,3.47,https://soundcloud.com/pavdharia/8-na-ja
Dil Nu,AP Dhillon,231340,3.86,https://soundcloud.com/apdhillongg/dil-nu
Apa Fer Milaange Savi Kahlon,Pistol Group Records,231811,3.86,https://soundcloud.com/pistol-group-records/apa-fer-milaange-savi-kahlon-1
Jhol- Maanu x Annural Khalid (Slowed & Reverb),ZUلA͜͡ L⚜️,292571,4.88,https://soundcloud.com/zam-cladius/jhol-maanu-x-annural-khalid-1
Tu Hai Kahan  Uraan,Trippy Music,254328,4.24,https://soundcloud.com/nishit-kalra/tu-hai-kahan-uraan
Hardy Sandhu - Backbone,MAJ Tanoli,209208,3.49,https://soundcloud.com/malikarsalantanoli/hardy-sandhu-backbone
Mi Amor ( Slowed + Reverb) SHARN | 40K | THE PAUL,taran,241842,4.03,https://soundcloud.com/taran-245422354/mi-amor-slowed-reverb-sharn
Wishes  Hassan Raheem ft Talwiinder ...,Haider 110❗,218410,3.64,https://soundcloud.com/callme-aizaz/wishes-hassan-raheem-ft
Admirin You - Karan Aujla - prodssd - refix,prodssd,206629,3.44,https://soundcloud.com/user-162891565/admirin-you-karan-aujla-ssd-refix
King Shit Shubh,Pistol Group Records,213107,3.55,https://soundcloud.com/pistol-group-records/king-shit-shubh-2
Akhiyan Gulaab | Mitraz | Film Version | Jukebox,Hindi Songs,1140010,19.0,https://soundcloud.com/hindi-songs-456506030/akhiyan-gulaab-mitraz-film-version-jukebox
Pehle Bhi Mai,User 25184772,250227,4.17,https://soundcloud.com/user-25184772/pehle-bhi-mai
Apa Fer Milange,New Punjabi Songs 2024,1193012,19.88,https://soundcloud.com/new-punjabi-songs-2024-139664624/apa-fer-milange
O Sajni Re(PagalWorld.com.sb),ayush baberwal,170109,2.84,https://soundcloud.com/ayush-baberwal-408286046/o-sajni-repagalworldcomsb
Na Kar Deewana,Siven Baag,257721,4.3,https://soundcloud.com/baba-ranchor-das/na-kar-deewana
Fasle by aditya rikhari,Hayyan,216268,3.6,https://soundcloud.com/hayan-abro-808275594/aditya_rikhari-faasle
Mashup_Tere Bin x Sajni,سومی,185130,3.09,https://soundcloud.com/user-168698739/mashup_tere-bin-x-sajni
What Jhumka - Arijit Singh x Jonita Gandhi (0fficial Mp3),Ryan Ng,181943,3.03,https://soundcloud.com/ryan-ng79/what-jhumka-arijit-singh-x-jonita-gandhi-0fficial-mp3
Husn Mashup X Apa Fer Milange X Tune Jo Na Kaha Chillout Mashup,Malik mudassir,353672,5.89,https://soundcloud.com/heartbroken-satuts/husn-mashup-x-apa-fer-milange
Aaina  Aryan Bahnewaal  Kashif Imtiyaz  Visualizer Video-03196128a0e33ffbc73ba3c50e9af9e2,abdullah anees,186906,3.12,https://soundcloud.com/abdullah-anees-968175341/aaina-aryan-bahnewaal-kashif
Downers At Dusk -  Open Letter -Talha Anjum,Waryam Khan,256052,4.27,https://soundcloud.com/wrymkhn/downers-at-dusk-open-letter-talha-anjum
TUM MEIN ZAMAANA Incomplete Love Story  Ajay Paul ft Ronnik  Armaan Paul  insta pe hui,Bilal,206341,3.44,https://soundcloud.com/bilal-130159550/y2mate-com-tum-mein-zamaana
Cold Hours - AleemRK - Dada,DADA,206211,3.44,https://soundcloud.com/hakeemdadamusic/cold-hours-aleemrk-hakeem-dada-1
Raphael DeLove - Just A Lie,Soave,136072,2.27,https://soundcloud.com/soaverecords/raphael-delove-just-a-lie
Illusion,TheVuoristo,287033,4.78,https://soundcloud.com/thevuoristo/illusion
Aurora Night - Empty Frame,Aurora Night,303177,5.05,https://soundcloud.com/aurora_night/aurora-night-empty-frame-wav
Let Me Go,Stefan Christiansson,259971,4.33,https://soundcloud.com/s-christiansson/let-me-go
Ill Be There (Remastered),Stefan Christiansson,232046,3.87,https://soundcloud.com/s-christiansson/ill-be-there-remastered
Wait for Me,Stefan Christiansson,254041,4.23,https://soundcloud.com/s-christiansson/wait-for-me-wade-harlan
Rejackt - What Is Love (Cover),Lucid Plain Records,192209,3.2,https://soundcloud.com/lucid-plain/rejackt-what-is-love-cover
Dean Lewis - Half A Man (skip 1 min),Brxzzy,235154,3.92,https://soundcloud.com/exeve-froxzy/dean-lewis-half-a-man-skip-1
If,Sas,264046,4.4,https://soundcloud.com/dj-sas-395971788/if
Lighthouse & terro - My Mind,Setting Sail Records,138031,2.3,https://soundcloud.com/settingsailrecords/lighthouse-terro-my-mind
Alan Walker Mega Mashup - Dip SR,DJsHungama Record,205767,3.43,https://soundcloud.com/djshungamarecord/alan-walker-mega-mashup-dip-sr
Taylor Swift - The Fate of Ophelia (KEPIK Remix),K ☰ P I ꓘ,239569,3.99,https://soundcloud.com/kepik/taylor-swift-the-fate-of-ophelia
Lose It All (feat. Rory Hope),Audien,232542,3.88,https://soundcloud.com/audien/lose-it-all-feat-rory-hope
Rumi,November After Dark,186749,3.11,https://soundcloud.com/user-546024790/rumi-1
Can’t get enough,Thomas GT,207073,3.45,https://soundcloud.com/thomas-gt-869415467/cant-get-enough-wav
Find Your Light,EMBRZ,181159,3.02,https://soundcloud.com/embrz/find-your-light
Drown in Your Games,November After Dark,229930,3.83,https://soundcloud.com/user-546024790/drown-in-your-games
When We Fade,November After Dark,290011,4.83,https://soundcloud.com/user-546024790/when-we-fade
Deep Eyes - Fading Echoes,Cherokee Recordings,130873,2.18,https://soundcloud.com/cherokeerecordings/deep-eyes-fading-echoes
No Longer Here,Conny,281391,4.69,https://soundcloud.com/conny-631072737/no-longer-here
Azzarova - Dreams About Us,Deep Boss,315638,5.26,https://soundcloud.com/deepbossrecords/azzarova-dreams-about-us
Deep House Music Mix 2024  Mixed By deepmagic. Vol.7,deepmagic.,456934,7.62,https://soundcloud.com/deepmagic-975937729/deep-house-music-mix-2024-mixed-by-deepmagic-vol8
Eternal Embrace,Maja-Emilie Morgenstjerne & AI/DI,212193,3.54,https://soundcloud.com/majaemilie/eternal-embrace
For The Sake of Love,Miami Beats,156134,2.6,https://soundcloud.com/miamibeats/for-the-sake-of-love
Flaws,Vancouver Sleep Clinic,199489,3.32,https://soundcloud.com/vancouversleepclinic/flaws
You Got What You Wanted,Thomas GT,179958,3.0,https://soundcloud.com/thomas-gt-869415467/you-got-what-you-wanted-wav
redfeel - In the Rain,Mark Music Records,204225,3.4,https://soundcloud.com/markmusic-records/redfeel-in-the-rain
Last Tango In Paris,TheVuoristo,234789,3.91,https://soundcloud.com/thevuoristo/last-tango-in-paris
MENDA - Listen,Mark Music Records,245185,4.09,https://soundcloud.com/markmusic-records/menda-listen
Micky & Nate VanDeusen - Bloom,Soave,153443,2.56,https://soundcloud.com/soaverecords/micky-bloom-nate-vandeusen
