title,artist,duration_ms,duration_min,url
Taqbeeran_kabiru_Allah_hu_ Akbar_Arabic Base boosted,Ahmad Arbaz,205845,3.43,https://soundcloud.com/ahmad-arbaz-409362867/arabic-base-boosted?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Music_Time_🎧,Ahmad Arbaz,199967,3.33,https://soundcloud.com/ahmad-arbaz-409362867/music_time?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Hayit_Murat_Remix,Ahmad Arbaz,406152,6.77,https://soundcloud.com/ahmad-arbaz-409362867/hayit_murat_remix?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Pre_kai ro 1 Remix.,Ahmad Arbaz,193541,3.23,https://soundcloud.com/ahmad-arbaz-409362867/pre_kai-ro-1-remix?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Barwa_ka_janana_dosti_Laga_Nana_Brahvi_Sindhi_Slowed_Reverb_Best_Song,Ahmad Arbaz,218776,3.65,https://soundcloud.com/ahmad-arbaz-409362867/barwa_ka_janana_dosti_laga_nan?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Timberlake Remix,Ahmad Arbaz,604056,10.07,https://soundcloud.com/ahmad-arbaz-409362867/timberlake-remix?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Made_in_Romania,Ahmad Arbaz,243644,4.06,https://soundcloud.com/ahmad-arbaz-409362867/made_in_romania?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
LALA_LaLa_diljit,Ahmad Arbaz,168986,2.82,https://soundcloud.com/ahmad-arbaz-409362867/lala_lala_diljit?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Sidhu_Moosewala_Nonstop_Mashup,Ahmad Arbaz,1659611,27.66,https://soundcloud.com/ahmad-arbaz-409362867/sidhu_moosewala_nonstop_mashup?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Ishq_la_ka_da_bang_loge_Kha_lage_khwaga_lage_sta_kata_ishq_laka_da_bang_loke_Zeeshan_Ali,Ahmad Arbaz,375066,6.25,https://soundcloud.com/ahmad-arbaz-409362867/ishq_la_ka_da_bang_loge_kha_la?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Nain_Tere_Nonstop_Punjabi_Mashup___Shubh_Ft.Sonam_Bajwa___You_And_Me_Nonstop,Ahmad Arbaz,1045708,17.43,https://soundcloud.com/ahmad-arbaz-409362867/nain_tere_nonstop_punjabi_mash?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Talwiinder_NASHA__Prod._by_Vision,Ahmad Arbaz,189414,3.16,https://soundcloud.com/ahmad-arbaz-409362867/talwiinder_nasha-prod?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
